[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Tag[ app_begin ] --START--
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.046800s ]
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | SQL: SELECT * FROM `wl_category` LIMIT 1   [ RunTime:0.000000s ]
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Tag[ view_template ] --START--
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.015601s ]
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.015601s ]
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Tag[ view_parse ] --START--
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.015600s ]
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015600s ]
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Tag[ view_filter ] --START--
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Tag[ view_end ] --START--
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-05-31T12:18:48+08:00 ] /QA/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
