[ 2016-08-20T19:35:41+08:00 ] /QA/admin.php/Login/__PUBLIC__/css/bootstrap.min.css | ERR: (ThinkException) 非法操作__PUBLIC__
[ 2016-08-20T19:35:41+08:00 ] /QA/admin.php/Login/__PUBLIC__/js/jquery.min.js | ERR: (ThinkException) 非法操作__PUBLIC__
[ 2016-08-20T19:35:41+08:00 ] /QA/admin.php/Login/__PUBLIC__/css/main.css | ERR: (ThinkException) 非法操作__PUBLIC__
[ 2016-08-20T19:36:21+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2016-08-20T19:36:21+08:00 ] /QA/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002001s ]
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004000s ]
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004000s ]
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.005001s ]
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.005001s ]
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.026001s ]
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026001s ]
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.003000s ]
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.003001s ]
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009001s ]
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.003000s ]
[ 2016-08-20T19:36:22+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.003000s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.009000s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | SQL: SELECT * FROM `wl_category` LIMIT 1   [ RunTime:0.000000s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.006000s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.006000s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.016001s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017001s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001001s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005001s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-08-20T19:36:31+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Tag[ route_check ] --START--
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.011001s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | SQL: SELECT COUNT(*) AS tp_count FROM `wl_index_user` LIMIT 1   [ RunTime:0.000000s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | NOTIC: [8] Undefined variable: where UserAction.class.php 第 10 行.
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | SQL: SELECT * FROM `wl_index_user` LIMIT 0,20   [ RunTime:0.000000s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Tag[ view_template ] --START--
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Run LocationTemplate Behavior [ RunTime:0.004000s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.004000s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Tag[ view_parse ] --START--
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Run ParseTemplate Behavior [ RunTime:0.019001s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019001s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Tag[ view_filter ] --START--
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001001s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004001s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Tag[ view_end ] --START--
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-08-20T19:36:36+08:00 ] /QA/admin.php/User/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.004000s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.004000s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.012000s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | SQL: SELECT * FROM `wl_category` LIMIT 1   [ RunTime:0.000000s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.005000s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.005000s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.021001s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021001s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008000s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-08-20T19:38:18+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-08-20T19:38:20+08:00 ] /QA/admin.php/User/index | INFO: Tag[ route_check ] --START--
[ 2016-08-20T19:38:20+08:00 ] /QA/admin.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-08-20T19:38:20+08:00 ] /QA/admin.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.004000s ]
[ 2016-08-20T19:38:20+08:00 ] /QA/admin.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2016-08-20T19:38:20+08:00 ] /QA/admin.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-20T19:38:20+08:00 ] /QA/admin.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-08-20T19:38:20+08:00 ] /QA/admin.php/User/index | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.010001s ]
[ 2016-08-20T19:38:20+08:00 ] /QA/admin.php/User/index | SQL: SELECT COUNT(*) AS tp_count FROM `wl_index_user` LIMIT 1   [ RunTime:0.001001s ]
[ 2016-08-20T19:38:20+08:00 ] /QA/admin.php/User/index | NOTIC: [8] Undefined variable: where UserAction.class.php 第 10 行.
[ 2016-08-20T19:38:20+08:00 ] /QA/admin.php/User/index | SQL: SELECT * FROM `wl_index_user` LIMIT 0,20   [ RunTime:0.000000s ]
[ 2016-08-20T19:38:20+08:00 ] /QA/admin.php/User/index | INFO: Tag[ view_template ] --START--
[ 2016-08-20T19:38:20+08:00 ] /QA/admin.php/User/index | INFO: Run LocationTemplate Behavior [ RunTime:0.004000s ]
[ 2016-08-20T19:38:20+08:00 ] /QA/admin.php/User/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.004000s ]
[ 2016-08-20T19:38:20+08:00 ] /QA/admin.php/User/index | INFO: Tag[ view_parse ] --START--
