[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Tag[ route_check ] --START--
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Tag[ app_begin ] --START--
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Tag[ view_template ] --START--
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Tag[ view_parse ] --START--
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Run ParseTemplate Behavior [ RunTime:0.023001s ]
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024001s ]
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Tag[ view_filter ] --START--
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005000s ]
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Tag[ view_end ] --START--
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001001s ]
[ 2016-06-21T00:35:04+08:00 ] /QA/index.php/member/myanswer?__hash__=364ee495430ed5579a40ded598361193_e7e2688cd8f3b51c122fe53d3e439461 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001001s ]
[ 2016-06-21T10:12:16+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-06-21T10:12:16+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-06-21T10:12:16+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-06-21T10:12:17+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.140400s ]
[ 2016-06-21T10:12:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.000000s ]
[ 2016-06-21T10:12:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.000000s ]
[ 2016-06-21T10:12:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.000000s ]
[ 2016-06-21T10:12:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.000000s ]
[ 2016-06-21T10:12:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.000000s ]
[ 2016-06-21T10:12:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.000000s ]
[ 2016-06-21T10:12:17+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.015600s ]
[ 2016-06-21T10:12:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 15   [ RunTime:0.000000s ]
[ 2016-06-21T10:12:17+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.015600s ]
[ 2016-06-21T10:12:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.000000s ]
[ 2016-06-21T10:12:17+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-06-21T10:12:18+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.015600s ]
[ 2016-06-21T10:12:18+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.015600s ]
[ 2016-06-21T10:12:18+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-06-21T10:12:18+08:00 ] /QA/ | NOTIC: [8] Undefined index: username f9c22b8b40e560036663a0ce7ed378ae.php 第 260 行.
[ 2016-06-21T10:12:18+08:00 ] /QA/ | NOTIC: [8] Undefined index: adopt f9c22b8b40e560036663a0ce7ed378ae.php 第 262 行.
[ 2016-06-21T10:12:18+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.031200s ]
[ 2016-06-21T10:12:18+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031200s ]
[ 2016-06-21T10:12:18+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
