[ 2016-07-05T19:09:42+08:00 ] /QA/ | ERR: (ThinkException) Unknown database 'q&a'
[ 2016-07-05T19:13:08+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-07-05T19:13:08+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-07-05T19:13:08+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-07-05T19:13:09+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.024001s ]
[ 2016-07-05T19:13:09+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.002000s ]
[ 2016-07-05T19:13:09+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001001s ]
[ 2016-07-05T19:13:09+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.001000s ]
[ 2016-07-05T19:13:09+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.001000s ]
[ 2016-07-05T19:13:09+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.001000s ]
[ 2016-07-05T19:13:09+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.001000s ]
[ 2016-07-05T19:13:09+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.009000s ]
[ 2016-07-05T19:13:09+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 15   [ RunTime:0.000000s ]
[ 2016-07-05T19:13:09+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.008001s ]
[ 2016-07-05T19:13:09+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.001000s ]
[ 2016-07-05T19:13:09+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-07-05T19:13:09+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.083005s ]
[ 2016-07-05T19:13:09+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.083005s ]
[ 2016-07-05T19:13:09+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-07-05T19:13:09+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.222013s ]
[ 2016-07-05T19:13:09+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.223013s ]
[ 2016-07-05T19:13:09+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-07-05T19:13:10+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.028001s ]
[ 2016-07-05T19:13:10+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-07-05T19:13:10+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-07-05T19:13:10+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-07-05T19:13:10+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.033001s ]
[ 2016-07-05T19:13:10+08:00 ] /QA/ | INFO: Tag[ view_end ] --START--
