[ 2016-08-04T10:07:09+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ route_check ] --START--
[ 2016-08-04T10:07:09+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run CheckRoute Behavior [ RunTime:0.028002s ]
[ 2016-08-04T10:07:09+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ route_check ] --END-- [ RunTime:0.032002s ]
[ 2016-08-04T10:07:09+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ app_begin ] --START--
[ 2016-08-04T10:07:09+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.017001s ]
[ 2016-08-04T10:07:09+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.017001s ]
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.141008s ]
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | SQL: SELECT `id`,`username`,`money`,`experience`,`adopt`,`answer`,`ask` FROM `wl_index_user` WHERE ( `id` = 107 ) LIMIT 1   [ RunTime:0.040002s ]
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ view_template ] --START--
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run LocationTemplate Behavior [ RunTime:0.031002s ]
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ view_template ] --END-- [ RunTime:0.031002s ]
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ view_parse ] --START--
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run ParseTemplate Behavior [ RunTime:0.434025s ]
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.434025s ]
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ view_filter ] --START--
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run ContentReplace Behavior [ RunTime:0.030001s ]
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run TokenBuild Behavior [ RunTime:0.003001s ]
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.019001s ]
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run ShowRuntime Behavior [ RunTime:0.003000s ]
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.055003s ]
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ view_end ] --START--
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run ShowPageTrace Behavior [ RunTime:0.056003s ]
[ 2016-08-04T10:07:10+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ view_end ] --END-- [ RunTime:0.056003s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ route_check ] --START--
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run CheckRoute Behavior [ RunTime:0.005000s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ route_check ] --END-- [ RunTime:0.005000s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ app_begin ] --START--
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.029002s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | SQL: SELECT `id`,`username`,`money`,`experience`,`adopt`,`answer`,`ask` FROM `wl_index_user` WHERE ( `id` = 107 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ view_template ] --START--
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run LocationTemplate Behavior [ RunTime:0.008000s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ view_template ] --END-- [ RunTime:0.008000s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ view_parse ] --START--
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run ParseTemplate Behavior [ RunTime:0.037002s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.037002s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ view_filter ] --START--
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run ContentReplace Behavior [ RunTime:0.003000s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run TokenBuild Behavior [ RunTime:0.002001s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011001s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ view_end ] --START--
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Run ShowPageTrace Behavior [ RunTime:0.003000s ]
[ 2016-08-04T12:08:16+08:00 ] /QA/index.php/Member/index/id/107 | INFO: Tag[ view_end ] --END-- [ RunTime:0.003000s ]
[ 2016-08-04T18:18:38+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-08-04T18:18:38+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-08-04T18:18:38+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2016-08-04T18:18:38+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.083004s ]
[ 2016-08-04T18:18:38+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-08-04T18:18:38+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001000s ]
[ 2016-08-04T18:18:38+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.001001s ]
[ 2016-08-04T18:18:38+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.000000s ]
[ 2016-08-04T18:18:38+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.001000s ]
[ 2016-08-04T18:18:38+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.000000s ]
[ 2016-08-04T18:18:38+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.038002s ]
[ 2016-08-04T18:18:38+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 5   [ RunTime:0.000000s ]
[ 2016-08-04T18:18:38+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 1 ) LIMIT 5   [ RunTime:0.000000s ]
[ 2016-08-04T18:18:38+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.019001s ]
[ 2016-08-04T18:18:38+08:00 ] /QA/ | NOTIC: [8] Undefined index: uid IndexAction.class.php 第 23 行.
